*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Oct 18, 2016; 16:14:02

*RUN   1        : SIMPLE TEMPLAT EXPERIMEN
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : SANT7001 MZ                                                   
 TREATMENT  1   : SIMPLE TEMPLAT EXPERIMEN

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1970 346   118    58   15.0      3   2.40   2041    712      0   2306   2752      0    0.0  0.000      0      0  0.000  0.000  0.174  0.000   1.31   0.00   0.00      0      0    117.8   0.00   0.00   0.72   2.42   4.00   3.78   3.47   3.43   2.42   0.00   0.00   0.00   0.00      0      0      0       0     168
 1970 347   119    59   16.0      3   2.42   2110    823      0   2378   2933      0    0.0  0.000      0      0  0.000  0.000  0.193  0.000   1.26   0.00   0.00      0      0    114.6   0.00   0.00   0.73   2.60   4.00   3.88   3.54   3.48   2.72   0.00   0.00   0.00   0.00      0      0      0       0     179
 1970 348   120    60   16.0      3   2.42   2171    939      0   2437   3110      0    0.0  0.000      0      0  0.000  0.000  0.202  0.000   1.22   0.00   0.00      0      0    111.6   0.00   0.00   0.74   2.75   4.00   3.97   3.60   3.52   2.96   0.00   0.00   0.00   0.00      0      0      0       0     191
 1970 349   121    61   16.0      3   2.42   2225   1053      0   2470   3278      0    0.0  0.000      0      0  0.000  0.049  0.227  0.000   1.18   0.00   0.00      0      0    108.6   0.00   0.00   0.76   2.85   4.00   4.00   3.64   3.55   3.10   0.00   0.00   0.00   0.00      0      0      0       0     203
 1970 350   122    62   17.0      3   2.40   2277   1177      0   2541   3454      0    0.0  0.000      0      0  0.000  0.000  0.246  0.000   1.14   0.00   0.00      0      0    105.6   0.00   0.00   0.77   3.05   4.00   4.00   3.72   3.60   3.37   0.00   0.00   0.00   0.00      0      0      0       0     216
 1970 351   123    63   17.0      3   2.39   2328   1313      0   2576   3642      0    0.0  0.000      0      0  0.000  0.273  0.256  0.000   1.10   0.00   0.00      0      0    102.7   0.00   0.00   0.79   3.16   4.00   4.00   3.76   3.63   3.50   0.00   0.00   0.00   0.00      0      0      0       0     229
 1970 352   124    64   18.0      3   2.36   2364   1416      0   2638   3780      0    0.0  0.000      0      0  0.397  0.599  0.272  0.000   1.08   0.00   0.00      0      0     99.9   0.00   0.00   0.80   3.14   4.00   4.00   3.85   3.69   3.72   0.00   0.00   0.00   0.00      0      0      0       0     241
 1970 353   125    65   18.0      3   2.33   2397   1514      0   2673   3910      0    0.0  0.000      0      0  0.449  0.633  0.292  0.000   1.06   0.00   0.00      0      0     97.1   0.00   0.00   0.82   3.13   4.00   4.00   3.91   3.73   3.84   0.00   0.00   0.00   0.00      0      0      0       0     255
 1970 354   126    66   18.0      3   2.30   2433   1629      0   2674   4062      0    0.0  0.000      0      0  0.221  0.481  0.292  0.000   1.03   0.00   0.00      0      0     94.4   0.00   0.00   0.83   3.11   4.00   4.00   3.92   3.73   3.86   0.00   0.00   0.00   0.00      0      0      0       0     268
 1970 355   127    67   18.0      3   2.24   2451   1691      0   2708   4142      0    0.0  0.000      0      0  0.625  0.750  0.308  0.000   1.02   0.00   0.00      0      0     91.5   0.00   0.00   0.84   3.10   4.00   4.00   3.99   3.78   3.93   0.00   0.00   0.00   0.00      0      0      0       0     281
